seq,t_wall,t_rel,ik_ok,left_human_dx,left_human_dy,left_human_dz,left_human_distance,left_robot_dx,left_robot_dy,left_robot_dz,left_robot_distance,left_error_dx,left_error_dy,left_error_dz,left_error_distance,right_human_dx,right_human_dy,right_human_dz,right_human_distance,right_robot_dx,right_robot_dy,right_robot_dz,right_robot_distance,right_error_dx,right_error_dy,right_error_dz,right_error_distance
1270,1789107649.89131,42.781472416001634,1,0.340376876156666,0.09726495279152023,-0.32133862895623033,0.478095600610565,0.2059976977581716,0.11876944877849366,-0.3430288405067949,0.4173847372200502,-0.13437917839849442,0.021504495986973432,-0.021690211550564553,0.13780664792315495,0.25217388156093745,-0.15461764968736227,-0.2730529062236864,0.40256201228326904,0.18877506606693575,-0.15451590443382332,-0.3187032188399382,0.4013513821958458,-0.0633988154940017,0.00010174525353895403,-0.0456503126162518,0.07812407567517586
1271,1789107649.9251482,42.81530843799919,1,0.3402185149279717,0.0976204082508251,-0.32115820259128647,0.47793406773164654,0.2059976977581716,0.11876944877849366,-0.3430288405067949,0.4173847372200502,-0.13422081716980014,0.021149040527668556,-0.021870637915508417,0.13762570428448734,0.252582374192884,-0.15418708332184772,-0.2734572610286339,0.4029272713846692,0.18877506606693575,-0.15451590443382332,-0.3187032188399382,0.4013513821958458,-0.06380730812594823,-0.0003288211119756024,-0.045245957811304305,0.07822197512122607
1272,1789107649.9588811,42.84854368000015,1,0.3401149213589304,0.09795797312900252,-0.3209555533248838,0.4777932517738359,0.2059976977581716,0.11876944877849366,-0.3430288405067949,0.4173847372200502,-0.1341172236007588,0.020811475649491137,-0.022073287181911094,0.13750555331367684,0.252880244631694,-0.15383752740775797,-0.27355168131179175,0.4030445698833147,0.18877506606693575,-0.15451590443382332,-0.3187032188399382,0.4013513821958458,-0.06410517856475825,-0.0006783770260653521,-0.045151537528146435,0.07841298014592131
1273,1789107649.9932895,42.88231910000104,1,0.34017058829020397,0.09801829076536545,-0.3209358837921079,0.4778320374019396,0.20612182048344954,0.11876654504188863,-0.3430126663094074,0.41743189426454613,-0.13404876780675443,0.020748254276523187,-0.022076782517299498,0.13742978764572317,0.2531211147417637,-0.15386153202536068,-0.27360717323607764,0.4032425510924426,0.1899729793498093,-0.15465592696931366,-0.32095967202576087,0.40376143909078877,-0.06314813539195438,-0.0007943949439529752,-0.04735249878968323,0.07893400539966619
1274,1789107650.0254025,42.91556371900151,1,0.3402529602182087,0.09804384826248087,-0.3209669378120359,0.47791677966755425,0.20612182048344954,0.11876654504188863,-0.3430126663094074,0.41743189426454613,-0.13413113973475918,0.02072269677940776,-0.02204572849737152,0.13750129800600644,0.2534199442666234,-0.15399488620394594,-0.2735289719421323,0.40342805011647936,0.1899729793498093,-0.15465592696931366,-0.32095967202576087,0.40376143909078877,-0.06344696491681409,-0.0006610407653677153,-0.04743070008362854,0.07921884651061284
1275,1789107650.0590377,42.94919821900112,1,0.34050811698500894,0.09835659360844697,-0.3208061030432072,0.4780547594038811,0.20612182048344954,0.11876654504188863,-0.3430126663094074,0.41743189426454613,-0.1343862965015594,0.020409951433441667,-0.022206563266200186,0.1377293514724303,0.25412372479828993,-0.15451712607019064,-0.2723145058676091,0.4032488063965823,0.1899729793498093,-0.15465592696931366,-0.32095967202576087,0.40376143909078877,-0.06415074544848062,-0.00013880089912302052,-0.04864516615815179,0.0805089411049453
1276,1789107650.0921633,42.9823240049991,1,0.3406350059149007,0.0982408029708672,-0.320801741753999,0.4781184164361426,0.20623010503471964,0.11876975573738649,-0.3429915230768289,0.4174689162118693,-0.13440490088018106,0.020528952766519296,-0.022189781322829893,0.13776248283715087,0.2541664258975054,-0.15460414158479194,-0.27231014457840086,0.4033061213135651,0.19100422314217427,-0.1548016065295276,-0.3230467495299368,0.4059622556643978,-0.0631622027553311,-0.00019746494473565912,-0.050736604951535924,0.08101670155787741
1277,1789107650.1258395,43.01570918899961,1,0.34081844527513927,0.09797002008924742,-0.32084410557626963,0.47822199610545635,0.20623010503471964,0.11876975573738649,-0.3429915230768289,0.4174689162118693,-0.13458834024041963,0.02079973564813907,-0.022147417500559263,0.13797520948941336,0.25426382134957815,-0.15592600985566651,-0.2705398119437623,0.4026844934230344,0.19100422314217427,-0.1548016065295276,-0.3230467495299368,0.4059622556643978,-0.06325959820740387,0.0011244033261389175,-0.052506937586174474,0.08221933801047311
1278,1789107650.1590486,43.049151128998346,1,0.3410625580338891,0.09726656562696706,-0.3209348430853751,0.47831331445791825,0.20623010503471964,0.11876975573738649,-0.3429915230768289,0.4174689162118693,-0.13483245299916943,0.02150319011041943,-0.022056679991453776,0.1383064521233318,0.2546921485556608,-0.15763920446829705,-0.26888967659291296,0.40251691579303556,0.19100422314217427,-0.1548016065295276,-0.3230467495299368,0.4059622556643978,-0.06368792541348653,0.0028375979387694483,-0.05415707293702382,0.08364922208031614
1279,1789107650.1925824,43.08274336300019,1,0.3410767120490513,0.09711988642768243,-0.3209639896588268,0.47831315944643304,0.2063260057121459,0.11877974368959134,-0.34297073776674014,0.4175020659929188,-0.13475070633690542,0.021659857261908902,-0.022006748107913365,0.1382432610914049,0.25516625737471177,-0.15898686615367322,-0.2667993416027965,0.401955882145876,0.19190287306988854,-0.15494321125466723,-0.3249832943136457,0.4079807017364128,-0.06326338430482323,0.004043654899005988,-0.058183952710849196,0.08604637872508258
1280,1789107650.225764,43.115927110000484,1,0.34113975722201983,0.09694901099722435,-0.3210333832168253,0.4783700218768726,0.2063260057121459,0.11877974368959134,-0.34297073776674014,0.4175020659929188,-0.13481375150987393,0.02183073269236699,-0.021937354549914856,0.13832055527180434,0.25584513747033144,-0.1597801600998116,-0.26355263074871615,0.40055764017592194,0.19190287306988854,-0.15494321125466723,-0.3249832943136457,0.4079807017364128,-0.0639422644004429,0.004836948845144379,-0.061430663564929544,0.08880166483132089
1281,1789107650.260147,43.150310034998256,1,0.34125327592264454,0.09670949437371548,-0.3214463368625702,0.4786797176738547,0.20641923269549203,0.11877683744502321,-0.3429523089443932,0.41753218193371355,-0.1348340432271525,0.022067343071307727,-0.021505972081823033,0.1383101358483628,0.25606854239512256,-0.16123977605468692,-0.25687412178230895,0.39693031910898513,0.1926691433827589,-0.15509960458609912,-0.3267811516753965,0.4098331456152722,-0.06339939901236366,0.006140171468587807,-0.06990702989308756,0.09457366615113107
1282,1789107650.293805,43.18396479299918,1,0.34140673197891014,0.0967534352068257,-0.32150862371636046,0.4788398260262288,0.20641923269549203,0.11877683744502321,-0.3429523089443932,0.41753218193371355,-0.1349874992834181,0.022023402238197515,-0.02144368522803275,0.13844308160791277,0.25551053297323734,-0.16167276510625744,-0.25276926910591735,0.39410153367084294,0.1926691433827589,-0.15509960458609912,-0.3267811516753965,0.4098331456152722,-0.06284138959047844,0.006573160520158328,-0.07401188256947916,0.0973139529890983
1283,1789107650.3294647,43.21962469199934,1,0.3413130358770232,0.09685273671745288,-0.3214297667713226,0.4787401550276697,0.20641923269549203,0.11877683744502321,-0.3429523089443932,0.41753218193371355,-0.13489380318153119,0.021924100727570325,-0.02152254217307059,0.13834819894412043,0.25430580565808114,-0.1620978045184443,-0.24787268793297423,0.39036906952808537,0.1926691433827589,-0.15509960458609912,-0.3267811516753965,0.4098331456152722,-0.061636662275322246,0.006998199932345184,-0.07890846374242227,0.1003722999085125
